Name/ID,Parent,companyId,confidence,date,isDeleted,isProcessed,labels,location,originalImageUrl,processedImageUrl,project_id,regions,severity
name=100023_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8610826730728149, 0.6714695692062378, 0.6576370596885681, 0.5552346110343933, 0.4876035153865814]","Jul 08, 2019",False,True,Porcelain Insulators Flashed,"[37.39076992605347, -122.13448568732397]",https://storage.googleapis.com/buzz_statging_images/100023_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100023_processed_2019-08-08,test_project_id,"[[1026, 167, 1166, 392], [44, 133, 402, 798], [123, 36, 2074, 793], [11, 94, 2117, 781], [1760, 139, 2115, 829]]",High
name=100023_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8610826730728149, 0.6714695692062378, 0.6576370596885681, 0.5552346110343933, 0.4876035153865814]","Jul 08, 2019",False,True,Porcelain Insulators Broken,"[37.39076992605347, -122.13448568732397]",https://storage.googleapis.com/buzz_statging_images/100023_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100023_processed_2019-08-08,test_project_id,"[[1026, 167, 1166, 392], [44, 133, 402, 798], [123, 36, 2074, 793], [11, 94, 2117, 781], [1760, 139, 2115, 829]]",High
name=100124_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8966526389122009, 0.804293692111969, 0.5976225733757019]","Jul 09, 2019",False,True,Porcelain Insulators Broken,"[37.502176481000305, -122.1023809955861]",https://storage.googleapis.com/buzz_statging_images/100124_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100124_processed_2019-08-08,test_project_id,"[[35, 0, 2058, 1257], [778, 245, 1125, 1021], [0, 83, 715, 858]]",High
name=100124_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.8966526389122009, 0.804293692111969, 0.5976225733757019]","Jul 09, 2019",False,True,Porcelain Insulators Good,"[37.502176481000305, -122.1023809955861]",https://storage.googleapis.com/buzz_statging_images/100124_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100124_processed_2019-08-08,test_project_id,"[[35, 0, 2058, 1257], [778, 245, 1125, 1021], [0, 83, 715, 858]]",High
name=100137_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9402655363082886, 0.938316822052002, 0.936983048915863, 0.8505662679672241, 0.6529609560966492]","Aug 01, 2019",False,True,Porcelain Insulators Broken,"[37.557991999145386, -122.1799519242058]",https://storage.googleapis.com/buzz_statging_images/100137_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100137_processed_2019-08-08,test_project_id,"[[1137, 401, 1527, 838], [792, 283, 1093, 860], [24, 0, 2136, 1085], [1528, 458, 1881, 964], [1358, 689, 1473, 815]]",High
name=100138_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9654527902603149, 0.936977744102478, 0.9085105657577515, 0.8958122134208679, 0.8782820701599121, 0.7667911648750305, 0.7344247102737427, 0.5644438862800598]","Aug 02, 2019",False,True,Porcelain Insulators Broken,"[37.31521552284535, -122.04875943991]",https://storage.googleapis.com/buzz_statging_images/100138_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100138_processed_2019-08-08,test_project_id,"[[2079, 41, 2178, 410], [1672, 40, 1760, 391], [0, 0, 2869, 470], [2249, 84, 2383, 377], [206, 82, 346, 332], [1250, 29, 1357, 394], [857, 7, 952, 409], [1056, 27, 1149, 408]]",High
name=100197_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9735562205314636, 0.9702707529067993, 0.9476707577705383]","Aug 01, 2019",False,True,Connectors Corroded,"[37.44120296460224, -122.09583176965954]",https://storage.googleapis.com/buzz_statging_images/100197_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100197_processed_2019-08-08,test_project_id,"[[1052, 2346, 1125, 3170], [937, 3, 987, 279], [934, 369, 1101, 2226]]",Medium
name=100197_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9735562205314636, 0.9702707529067993, 0.9476707577705383]","Aug 01, 2019",False,True,Conductor Good,"[37.44120296460224, -122.09583176965954]",https://storage.googleapis.com/buzz_statging_images/100197_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/100197_processed_2019-08-08,test_project_id,"[[1052, 2346, 1125, 3170], [937, 3, 987, 279], [934, 369, 1101, 2226]]",Medium
name=140077_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9445605278015137, 0.9150051474571228, 0.8601386547088623, 0.5151771903038025]","Jul 08, 2019",False,True,Conductor Good,"[37.38663736036798, -122.37852055914148]",https://storage.googleapis.com/buzz_statging_images/140077_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/140077_processed_2019-08-08,test_project_id,"[[888, 1607, 1074, 2873], [964, 873, 1580, 2165], [714, 0, 894, 1364], [1060, 1719, 1415, 2119]]",Medium
name=140077_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9445605278015137, 0.9150051474571228, 0.8601386547088623, 0.5151771903038025]","Jul 08, 2019",False,True,Dampers Damaged,"[37.38663736036798, -122.37852055914148]",https://storage.googleapis.com/buzz_statging_images/140077_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/140077_processed_2019-08-08,test_project_id,"[[888, 1607, 1074, 2873], [964, 873, 1580, 2165], [714, 0, 894, 1364], [1060, 1719, 1415, 2119]]",Medium
name=150735%20%282%29.JPG2019-08-08_18-54-52_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.9470511674880981],"Aug 03, 2019",False,True,Misaligned Hardware,"[37.4207051922302, -121.71119555930815]",https://storage.googleapis.com/buzz_statging_images/150735%20%282%29.JPG2019-08-08_18-54-52,https://storage.googleapis.com/buzz-staging-processed-images/150735%20%282%29.JPG2019-08-08_18-54-52,test_project_id,"[[174, 291, 2899, 3159]]",Medium
name=151237.jpg2019-08-08_18-56-19_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.8365911245346069],"Aug 08, 2019",False,True,Marker Balls,"[37.44984773557171, -121.95395960616989]",https://storage.googleapis.com/buzz_statging_images/151237.jpg2019-08-08_18-56-19,https://storage.googleapis.com/buzz-staging-processed-images/151237.jpg2019-08-08_18-56-19,test_project_id,"[[0, 202, 1684, 2773]]",None
name=170427_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9850923418998718, 0.9525611400604248, 0.9143374562263489, 0.8535043597221375]","Jul 20, 2019",False,True,Polymer Insulators Flashed,"[37.408506489049, -122.16886144550578]",https://storage.googleapis.com/buzz_statging_images/170427_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170427_processed_2019-08-08,test_project_id,"[[865, 1362, 1191, 1750], [540, 1410, 823, 1714], [615, 1742, 1131, 3175], [19, 1492, 630, 2085]]",High
name=170427_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.9850923418998718, 0.9525611400604248, 0.9143374562263489, 0.8535043597221375]","Jul 20, 2019",False,True,Polymer Insulator Good,"[37.408506489049, -122.16886144550578]",https://storage.googleapis.com/buzz_statging_images/170427_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170427_processed_2019-08-08,test_project_id,"[[865, 1362, 1191, 1750], [540, 1410, 823, 1714], [615, 1742, 1131, 3175], [19, 1492, 630, 2085]]",High
name=170430_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.7616704702377319, 0.7037530541419983, 0.49369385838508606]","Aug 08, 2019",False,True,Cotter Pin Good,"[37.343175075814464, -122.20079450961047]",https://storage.googleapis.com/buzz_statging_images/170430_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170430_processed_2019-08-08,test_project_id,"[[56, 191, 1649, 2149], [1457, 1959, 1557, 2016], [0, 0, 1100, 1529]]",High
name=170430_processed_2019-08-08_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.7616704702377319, 0.7037530541419983, 0.49369385838508606]","Aug 08, 2019",False,True,Polymer Insulator Good,"[37.343175075814464, -122.20079450961047]",https://storage.googleapis.com/buzz_statging_images/170430_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170430_processed_2019-08-08,test_project_id,"[[56, 191, 1649, 2149], [1457, 1959, 1557, 2016], [0, 0, 1100, 1529]]",High
name=170430_processed_2019-08-08_3,"Key(Company, '345', Project, 'test_project_id')",345,"[0.7616704702377319, 0.7037530541419983, 0.49369385838508606]","Aug 08, 2019",False,True,Polymer Insulators Contaminated,"[37.343175075814464, -122.20079450961047]",https://storage.googleapis.com/buzz_statging_images/170430_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170430_processed_2019-08-08,test_project_id,"[[56, 191, 1649, 2149], [1457, 1959, 1557, 2016], [0, 0, 1100, 1529]]",High
name=170949%20%282%29_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.9897809028625488],"Aug 01, 2019",False,True,Nests,"[37.44631774185217, -122.07307584924344]",https://storage.googleapis.com/buzz_statging_images/170949%20%282%29_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/170949%20%282%29_processed_2019-08-08,test_project_id,"[[294, 330, 1345, 2685]]",Low
name=1_processed_2019-08-09_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.6382261514663696],"Aug 09, 2019",False,True,Porcelain Insulators Contaminated,"[37.52188991115337, -122.22885537409249]",https://storage.googleapis.com/buzz_statging_images/1_processed_2019-08-09,https://storage.googleapis.com/buzz-staging-processed-images/1_processed_2019-08-09,test_project_id,"[[24, 2, 157, 281]]",High
name=3_processed_2019-08-09_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.46990489959716797],"Jul 20, 2019",False,True,Porcelain Insulators Good,"[37.380514082434736, -122.05223757354327]",https://storage.googleapis.com/buzz_statging_images/3_processed_2019-08-09,https://storage.googleapis.com/buzz-staging-processed-images/3_processed_2019-08-09,test_project_id,"[[18, 49, 213, 375]]",None
name=4_processed_2019-08-09_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.6030643582344055, 0.4564182758331299]","Jul 21, 2019",False,True,Porcelain Insulators Good,"[37.4049073513552, -122.26214948726403]",https://storage.googleapis.com/buzz_statging_images/4_processed_2019-08-09,https://storage.googleapis.com/buzz-staging-processed-images/4_processed_2019-08-09,test_project_id,"[[29, 49, 374, 141], [0, 176, 408, 603]]",None
name=image%20%281%29_processed_2019-08-09_1,"Key(Company, '345', Project, 'test_project_id')",345,"[0.892641007900238, 0.6683432459831238, 0.4555899500846863]","Aug 09, 2019",False,True,Ground Bonds Broken,"[37.53612543267818, -122.1824238889523]",https://storage.googleapis.com/buzz_statging_images/image%20%281%29_processed_2019-08-09,https://storage.googleapis.com/buzz-staging-processed-images/image%20%281%29_processed_2019-08-09,test_project_id,"[[1081, 331, 1179, 590], [465, 684, 606, 773], [398, 369, 562, 479]]",High
name=image%20%281%29_processed_2019-08-09_2,"Key(Company, '345', Project, 'test_project_id')",345,"[0.892641007900238, 0.6683432459831238, 0.4555899500846863]","Aug 09, 2019",False,True,Bird Guard,"[37.53612543267818, -122.1824238889523]",https://storage.googleapis.com/buzz_statging_images/image%20%281%29_processed_2019-08-09,https://storage.googleapis.com/buzz-staging-processed-images/image%20%281%29_processed_2019-08-09,test_project_id,"[[1081, 331, 1179, 590], [465, 684, 606, 773], [398, 369, 562, 479]]",High
name=new2_processed_2019-08-08_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.5808216333389282],"Aug 08, 2019",False,True,Porcelain Insulators Good,"[37.39905918175748, -122.28934285440872]",https://storage.googleapis.com/buzz_statging_images/new2_processed_2019-08-08,https://storage.googleapis.com/buzz-staging-processed-images/new2_processed_2019-08-08,test_project_id,"[[200, 117, 319, 149]]",None
name=timmy-turner_processed_2019-08-14_1,"Key(Company, '345', Project, 'test_project_id')",345,[0.7506536245346069],"Aug 14, 2019",False,True,Misaligned Hardware,"[37.477488913270896, -122.22324499184515]",https://storage.googleapis.com/buzz_statging_images/timmy-turner_processed_2019-08-14,https://storage.googleapis.com/buzz-staging-processed-images/timmy-turner_processed_2019-08-14,test_project_id,"[[3, 0, 1219, 1252]]",Medium
